Post_ID,Date_Posted,Reach,Likes,Comments,Shares,Duration_Seconds,Hashtags_Count,Caption_Length,Post_Hour,Total_Engagement,Engagement_Rate,Like_Ratio,Comment_Ratio,Share_Ratio,Year,Month,Day,DayOfWeek,Weekend,Quarter,WeekOfYear,Time_Category,Peak_Hours,Post_Hour_Category,Content_Type,Hashtag_Category,Caption_Category,Reach_Category,Engagement_Category,Comments_Per_Like,Shares_Per_Like,Virality_Score
1,2024-01-02,19485.0,944.0,27.0,27.0,87.0,3,59.0,12,998.0,0.05121888632281242,0.04844752373620734,0.0013856812933025404,0.0013856812933025404,2024,1,2,1,0,1,1,Morning,1,12:00,Long,Few,Long,Medium,Medium,0.028601694915254237,0.028601694915254237,0.0858050847457627
2,2024-01-03,14301.0,600.0,21.0,26.0,81.0,6,78.0,22,647.0,0.0452415914970981,0.04195510803440319,0.0014684287812041115,0.001818054681490805,2024,1,3,2,0,1,1,Evening,1,22:00,Long,Moderate,Long,Low,Low,0.035,0.043333333333333335,0.12166666666666667
3,2024-01-04,16316.0,778.0,30.0,24.0,29.0,7,68.0,12,832.0,0.05099289041431723,0.04768325569992645,0.0018386859524393234,0.0014709487619514587,2024,1,4,3,0,1,1,Morning,1,12:00,Short,Many,Long,Low,Low,0.038560411311053984,0.030848329048843187,0.10025706940874037
4,2024-01-05,23134.0,1249.0,10.0,23.0,60.0,7,20.0,18,1282.0,0.055416270424483445,0.053989798564882854,0.00043226419987896605,0.000994207659721622,2024,1,5,4,0,1,1,Afternoon,1,18:00,Medium,Many,Short,High,Very_High,0.008006405124099279,0.018414731785428344,0.04483586869495596
5,2024-01-06,22462.0,1176.0,25.0,31.0,25.0,7,23.0,12,1232.0,0.05484818805093046,0.05235508859406998,0.0011129908289555695,0.0013801086279049061,2024,1,6,5,1,1,1,Morning,1,12:00,Short,Many,Medium,High,Very_High,0.021258503401360544,0.026360544217687076,0.07397959183673469
6,2024-01-07,18794.0,897.0,24.0,24.0,22.0,14,49.0,10,945.0,0.05028200489517931,0.04772799829732893,0.001277003298925189,0.001277003298925189,2024,1,7,6,1,1,1,Morning,1,10:00,Short,Excessive,Medium,Medium,Medium,0.026755852842809364,0.026755852842809364,0.0802675585284281
7,2024-01-08,21036.0,1091.0,19.0,18.0,26.0,15,13.0,8,1128.0,0.05362236166571591,0.051863472142992965,0.0009032135386955695,0.0008556759840273817,2024,1,8,0,0,1,2,Morning,1,,Short,Excessive,Short,High,High,0.017415215398716773,0.016498625114573784,0.05041246562786435
8,2024-01-09,20190.0,938.0,14.0,38.0,111.0,4,17.0,18,990.0,0.04903417533432392,0.04645864289252105,0.0006934125804853888,0.001882119861317484,2024,1,9,1,0,1,2,Afternoon,1,18:00,Long,Moderate,Short,Medium,Medium,0.014925373134328358,0.04051172707889126,0.09594882729211088
9,2024-01-10,23253.0,1164.0,25.0,24.0,111.0,6,55.0,12,1213.0,0.05216531200275233,0.050058057024900016,0.0010751300907409797,0.0010321248871113405,2024,1,10,2,0,1,2,Morning,1,12:00,Long,Moderate,Long,Very_High,Very_High,0.02147766323024055,0.020618556701030927,0.0627147766323024
10,2024-01-11,17473.0,710.0,29.0,32.0,78.0,11,61.0,20,771.0,0.044125221770731984,0.04063412121558977,0.001659703542608596,0.0018313970125336232,2024,1,11,3,0,1,2,Evening,1,20:00,Long,Excessive,Long,Low,Low,0.04084507042253521,0.04507042253521127,0.13098591549295774
11,2024-01-12,18716.0,781.0,27.0,42.0,86.0,9,44.0,12,850.0,0.0454156871126309,0.04172900192348793,0.0014426159435776875,0.0022440692455652916,2024,1,12,4,0,1,2,Morning,1,12:00,Long,Many,Medium,Medium,Low,0.034571062740076826,0.05377720870678617,0.14212548015364918
12,2024-01-13,24197.0,1254.0,26.0,48.0,20.0,3,16.0,18,1328.0,0.054882836715295286,0.051824606356159854,0.0010745133694259619,0.001983716989709468,2024,1,13,5,1,1,2,Afternoon,1,18:00,Short,Few,Short,Very_High,Very_High,0.02073365231259968,0.03827751196172249,0.09728867623604466
13,2024-01-14,19902.0,809.0,27.0,36.0,112.0,12,39.0,8,872.0,0.043814691990754696,0.040649180986835495,0.0013566475731082302,0.0018088634308109737,2024,1,14,6,1,1,2,Morning,1,,Long,Excessive,Medium,Medium,Low,0.03337453646477132,0.04449938195302843,0.12237330037082818
14,2024-01-15,19236.0,1048.0,11.0,15.0,43.0,9,64.0,22,1074.0,0.05583281347473487,0.054481181118735705,0.0005718444583073404,0.0007797878976918279,2024,1,15,0,0,1,3,Evening,1,22:00,Medium,Many,Long,Medium,High,0.01049618320610687,0.01431297709923664,0.039122137404580155
15,2024-01-16,17647.0,840.0,19.0,29.0,67.0,7,76.0,21,888.0,0.050320167733892446,0.04760015866719556,0.0010766702555675186,0.0016433388111293705,2024,1,16,1,0,1,3,Evening,1,21:00,Long,Many,Long,Low,Low,0.02261904761904762,0.034523809523809526,0.09166666666666666
16,2024-01-17,18885.0,833.0,16.0,34.0,65.0,15,48.0,10,883.0,0.046756685199894094,0.044109081281440296,0.0008472332539052158,0.0018003706645485836,2024,1,17,2,0,1,3,Morning,1,10:00,Long,Excessive,Medium,Medium,Low,0.01920768307322929,0.04081632653061224,0.10084033613445378
17,2024-01-18,15421.0,757.0,12.0,30.0,24.0,6,61.0,8,799.0,0.05181246352376629,0.049088904740289215,0.000778159652422022,0.0019453991310550548,2024,1,18,3,0,1,3,Morning,1,,Short,Moderate,Long,Low,Low,0.015852047556142668,0.03963011889035667,0.095112285336856
